No,楼盘名称,区域位置,价格 (元/平),产权 (年),开发商,物业公司,物业费 (元/平/月),容积率,绿化率（%）
444,华润二十四城,九龙坡,,50,华润置地(重庆)有限公司,华润物业管理公司,3.55,4.17,50.0
445,揽江雅苑,渝中,,50,重庆九久房地产开发有限公司,重庆雨轩物业管理有限公司,1.3,1.6,40.0
446,中昂锦绣,巴南,,50,重庆中昂地产有限公司,中昂物业管理有限公司,1.6,3.0,30.0
447,金悦熙城,九龙坡,,50,金融街重庆融玺置业有限公司,北京金融街第一太平戴维斯物业管理有限公司,2.0,4.5,25.0
448,北大资源燕南,九龙坡,,50,重庆方源盈润置业有限公司,北大资源集团北京方诚物业经营管理有限公司,2.6,3.7,35.0
449,上丁跃世界,巴南,,50,重庆派克房地产开发有限公司,重庆西信物业管理有限公司,1.875,2.07,30.0
450,华侨城嘉陵江天,渝北,16500.0,50,重庆卉森置业有限公司,深圳华侨城物业服务有限公司-重庆分公司,3.8,2.43,30.0
451,祥瑞城,江津,6600.0,50,重庆祥瑞房地产集团有限公司,重庆祥瑞物业管理有限公司,1.9,2.5,30.0
452,融创瀚学融府,渝北,13000.0,50,重庆两江新区新亚航实业有限公司,重庆融创物业管理有限公司,2.8,2.5,30.0
453,琅樾江山,大渡口,13800.0,50,重庆亿臻房地产开发有限公司,金科物业,2.8,2.6,30.0
454,中洲半岛城邦,大渡口,12500.0,50,重庆洲立房地产有限公司,深圳市中洲物业管理有限公司重庆分公司,2.85,2.39,35.0
455,首钢鎏雲大道,北碚,9600.0,50,重庆首恒房地产开发有限公司,重庆美利山物业服务有限公司,2.8,2.67,30.0
456,春风十里,九龙坡,8200.0,50,重庆独帆房地产开发有限公司,重庆春润物业服务有限公司,2.2,2.0,30.0
457,象屿公园悦府,九龙坡,18500.0,50,重庆象屿置业有限公司,重庆象屿物业服务责任有限公司,3.0,3.5,30.0
458,金科禹洲府,渝北,13500.0,50,重庆通融实业有限公司,金科物业服务集团有限公司,3.15,1.93,35.0
459,中粮中央公园祥云,渝北,19000.0,50,重庆泽悦实业有限公司,中粮物业,3.4000000000000004,2.52,32.0
460,重庆来福士广场,渝中,33000.0,70,重庆凯德古渝雄关置业有限公司,戴德梁行公司,8.0,12.0,25.0
461,俊峰香格里拉,沙坪坝,,50,重庆俊峰置业有限公司,丰驰物业、世邦魏理仕,2.5,1.2,36.0
462,恒大麓山湖,大渡口,14000.0,50,重庆贝蒙世晖置地有限公司,恒大金碧物业,2.8,0.86,35.0
463,鲁能北渝星城,北碚,9500.0,50,重庆鲁能（集团）开发有限公司,重庆鲁能物业管理有限公司,2.9,2.8,30.0
464,芸峰兰亭,巴南,9600.0,50,重庆亿超置业发展有限公司,重庆岭寓物业有限公司,2.5,1.6,30.0
465,天泰钢城印象,大渡口,,50,重庆天泰房地产开发有限责任公司,重庆汇优物业管理有限责任公司,2.1,3.3,35.0
466,远洋九公子,渝北,17500.0,50,重庆远香房地产开发有限公司,重庆腾基物业有限公司,3.3,2.0,40.0
467,南滨特区,南岸,,50,重庆洋世达实业（集团）有限公司,重庆洋世达物业有限公司,3.8,3.03,35.0
468,中亿阳明山水,江北,19300.0,50,重庆中亿置地有限公司,重庆中亿物业管理有限公司,1.4,2.0,50.0
469,万科御澜道,江北,,50,万科（重庆）房地产有限公司（重庆溪畔置业有限公司）,万科物业管理有限公司重庆分公司,3.88,4.5,40.0
470,蓝光公园华府,沙坪坝,,50,重庆南方集团有限公司,蓝光嘉宝物业公司,2.8,3.71,30.0
471,金地自在城,大渡口,12000.0,50,重庆金地琅泽置业有限公司,金地物业,2.9,2.66,35.0
472,联发西城首府,大渡口,12100.0,50,重庆联筑房地产开发有限公司,联发集团联发物业公司,3.05,2.36,35.0
473,中海九龙天颂,九龙坡,22000.0,50,重庆中海海盛房地产开发有限公司,重庆中海海盛房地产开发有限公司,3.5,3.01,32.0
474,万科金域华庭,沙坪坝,14000.0,50,重庆峰畔置业有限公司,成都万科物业服务有限公司重庆分公司,2.9,6.9,35.0
475,碧桂园中俊天玺,渝北,17000.0,50,重庆碧桂园中俊房地产开发有限公司,广东碧桂园物业服务股份有限公司重庆分公司,3.3,1.5,35.0
476,金科美的碧桂园金辉曲建礼悦江山,渝北,,50,"重庆市碧桂园房地产开发有限公司,重庆金科房地产开发有限公司,重庆金辉房地产开发有限公司",广东碧桂园物业服务股份有限公司重庆分公司,3.3,1.8,30.0
477,国瑞御府,渝北,13000.0,50,重庆国瑞阳光置业有限公司,重庆国瑞物业管理有限公司,3.5,1.31,30.0
478,龙兴国际生态新城,渝北,14000.0,50,重庆茂秀置业有限公司,中化金茂物业管理（北京）有限公司重庆分公司,4.3,1.0,60.0
479,新城金樾府,巴南,9000.0,50,重庆铭睿房地产开发有限公司,新城物业,2.8499999999999996,2.3,35.0
480,金科集美嘉悦,北碚,15000.0,50,重庆金科汇茂房地产开发有限公司,重庆金科物业服务有限公司,3.15,3.18,35.0
481,恒大新城,巴南,11000.0,50,恒大地产集团重庆有限公司,金碧物业管理有限公司,2.8499999999999996,2.3,30.0
482,华商悦江府,渝北,14900.0,50,重庆华景域房地产开发有限公司,自贡华商物业有限公司重庆分公司,3.3,2.06,30.0
483,金辉中央铭著,渝北,21000.0,50,重庆金辉长江房地产有限公司,重庆金辉锦江物业服务有限公司,4.0,2.77,35.0
484,协信天骄星城,巴南,12500.0,50,重庆远清房地产开发有限公司,重庆天骄爱生活服务股份有限公司,2.4,3.26,30.0
485,华宇观澜华府,大渡口,14000.0,50,重庆业瑞房地产开发有限公司,重庆华宇物业服务有限公司,2.75,3.53,35.0
486,和泓文华府,巴南,10600.0,50,重庆恒拓置业有限公司,重庆和泓物业服务有限公司,2.6,2.5,30.0
487,融创碧桂园望江府,渝北,17500.0,50,重庆市碧桂园房地产开发有限公司,重庆融碧物业服务有限公司,4.5,1.53,35.0
488,北京城建龙樾生态城,渝北,16000.0,50,北京城建重庆地产有限公司,北京城建重庆物业管理有限公司,3.5,2.47,35.0
489,印江州,九龙坡,24000.0,50,重庆盛资房地产开发有限公司,重庆旭原天澄物业管理有限公司,3.5,3.7,30.0
490,北大资源博雅,渝北,,50,"重庆盈普投资有限公司,重庆盈睿投资有限公司",北大资源集团北京方诚物业经营管理有限公司,4.0,1.44,35.0
491,西海岸凯悦,九龙坡,6000.0,50,重庆谷瑞地产有限公司,重庆泰华物业管理有限公司,2.2,3.0,30.0
492,重庆融创文旅城,沙坪坝,13500.0,50,重庆万达城投资有限公司,重庆融创物业管理有限公司,2.5,3.99,30.0
493,梵悦天御,江北,34000.0,50,重庆鹏汇房地产有限公司,梵诚物业,4.5,3.2,22.0
494,绿地海外滩,江北,,50,重庆绿地申浦房地产开发有限公司,长城物业管理有限公司,2.7,2.7,35.0
495,上邦高尔夫温泉公馆,九龙坡,10000.0,50,重庆隆鑫地产（集团）有限公司,重庆隆鑫物业管理有限公司,3.0,0.77,40.0
496,佳兆业滨江新城,大渡口,14000.0,50,重庆佳兆业房地产开发有限公司,重庆佳兆业物业管理有限公司,2.5999999999999996,2.99,34.0
497,公园大道,渝北,19500.0,50,重庆怡置招商房地产开发有限公司,招商局物业管理有限公司重庆分公司,3.2,2.0,35.0
498,日月光解放碑1号R3,渝中,30000.0,50,重庆鼎固房地产开发有限公司,重庆天骄物业管理有限公司,3.9,17.43,20.0
499,巴比亚半山,巴南,,50,重庆威特嘉实业有限公司,重庆巴比亚物业管理公司,1.3,2.0,43.0
